spotify_id,track,artist,number_of_emotion_tags,valence_tags
40a42KKcVcnqT3Wz24INIm,Enna Solla Pogirai,Anirudh Ravichander,4,0.80
2VGs7EmaIxq96Wcog6DQOc,Why This Kolaveri Di,Dhanush,5,0.90
3YRj4jmwois2ctPnhwSwFo,Vaseegara,Harris Jayaraj,4,0.85
65dvxc4Kctq3JIJ2BkKKMj,Munbe Vaa,A R Rahman,4,0.82
0cVrLxeQjiAcftuGzp32qY,New York Nagaram,A R Rahman,3,0.60
7fu8lcM9N3rVjWZr9ky6Nd,Kan Pesum Vaarthaigal,Karthik,3,0.55
6wdyJnmcSeBXUyR6H5gGKd,Suttrum Vizhi,S P Balasubrahmanyam,2,0.40
3hp56aHySTDt9bdZiwdDO1,Pachai Nirame,A R Rahman,5,0.95
7F2yXXaikB9SQNVZRjDSVo,Vennilave Vennilave,A R Rahman,3,0.60
6KNTQ1qcrv1yBQrfh0kTvd,Thalli Pogathey,A R Rahman,2,0.35
3c6Y3iJr3bm6utsdRcm30J,Rowdy Baby,Dhanush,5,0.92
2I8JoeqbjfHiUr7c6D9jyf,Enjoy Enjaami,Dhee,5,0.90
4dJrjWtAhEkW7VdPYSL1Ip,Vaathi Coming,Anirudh Ravichander,5,0.88
5cfKBuE5XKtlaNOVjQwA9H,Kadhaippoma,Sid Sriram,3,0.65
1CjXSN6vgWmniOCEycVFdN,Aalaporan Thamizhan,A R Rahman,5,0.93
22l0qyOhl50I7bslggljTD,Poongatrile,Ilaiyaraaja,2,0.38
3maYKRbNAKulMXWwil6a9B,Ilaya Nila,Ilaiyaraaja,3,0.58
2VgcS8N95fTatofAD9tQqr,Anjali Anjali,Ilaiyaraaja,4,0.75
6ZIGtwWzDNxgPoaWJ0vami,Uyire Uyire,A R Rahman,2,0.30
1vzxYeTJ9dTtyJXkNWVJDZ,En Kadhal Solla,Yuvan Shankar Raja,3,0.62
4Dd5XLOdAAmURIZSLThPvH,Pirai Thedum,G V Prakash Kumar,2,0.33
00bHxCcteaAJhU5WiP1mtf,Unakkenna Venum Sollu,Harris Jayaraj,4,0.78
1zAkNzJZVPrWDCnowb1vpZ,Oh Penne,Vivek-Mervin,4,0.81
6yvxu91deFKt3X1QoV6qMv,Arabic Kuthu,Anirudh Ravichander,5,0.94
6TQS7URegxmcb8tTNpoXzi,Megham Karukatha,Anirudh Ravichander,3,0.57
7qjJw7ZM2ekDSahLXPjIlN,Maruvaarthai,Darbuka Siva,2,0.28
1d1ICMe7RvIDwTlTDk3X6y,Vizhi Moodi,Yuvan Shankar Raja,2,0.34
4vlMdXsRpAIXYggwbNHZSv,Nenjukkul Peidhidum,Harris Jayaraj,3,0.59
3IpEJ86hrMfUcoXCk9U4h3,Kangal Irandal,James Vasanthan,3,0.61
3PVs9mXTYyRGPpLi4elnKq,Evano Oruvan,G V Prakash Kumar,1,0.18
3qTNm4Mta37YmEcLeQcdw3,Oru Devathai,Yuvan Shankar Raja,4,0.77
6S6DFMfhwIZYHUffVzuWOI,June Ponaal,Harris Jayaraj,4,0.79
6Z8oU8xMOie24Cflh2Sw6p,Venmegam,Pritam,3,0.56
6NwEpX2JUWHVKWfDDfcqC4,Idhazhin Oram,Anirudh Ravichander,4,0.83
1VEKVUUoTpa6whq4mmboot,Selfie Pulla,Anirudh Ravichander,5,0.91
1HsfurxFZV4HxCAepRHfhJ,Surviva,A R Rahman,4,0.80
4iA6bUhiZyvRKJf4FNVX39,Innum Konjam Neram,A R Rahman,2,0.36
2NoJ7NuNs9nyj8Thoh1kbu,Malargale Malargale,Hariharan,4,0.74
4hRwKtnEaQYSrWWDztD8tr,Poove Sempoove,Ilaiyaraaja,1,0.15
3lrXYLTJPCJcFd3ZnBB74X,Ennavale Adi Ennavale,A R Rahman,3,0.63
5vTK1aaFZo2auJjQhGgHgD,Mustafa Mustafa,A R Rahman,5,0.89
7EICSvrfg1zzFp6iNUZ6Og,Valayapatti Thavile,A R Rahman,5,0.96
5jOi67yXzjpMdl6KFNWSIe,Usure Pogudhey,A R Rahman,2,0.31

